year,dayofyear,hourmin,ws,wd
2017,153,520,1.153,265.8
2017,153,530,1.755,319.3
2017,153,540,2.186,292.8
2017,153,550,1.447,281.8
2017,153,600,1.365,284
2017,153,610,1.682,261
2017,153,620,1.648,288.6
2017,153,630,1.254,300.1
2017,153,640,1.014,264.4
2017,153,650,1.9,338.7
2017,153,700,2.856,331.9
2017,153,710,3.609,337.8
2017,153,720,3.615,333.1
2017,153,730,3.293,335.4
2017,153,740,2.635,331
2017,153,750,3.49,337.2
2017,153,800,3.528,336
2017,153,810,3.033,338.6
2017,153,820,3.014,327.2
2017,153,830,3.041,334.7
2017,153,840,1.943,346.1
2017,153,850,1.472,358.3
2017,153,900,1.815,4.747
2017,153,910,1.989,355.2
2017,153,920,2.773,350.5
2017,153,930,3.23,345
2017,153,940,3.855,344.2
2017,153,950,4.099,338.9
2017,153,1000,4.675,330.9
2017,153,1010,4.148,320.6
2017,153,1020,3.819,321.8
2017,153,1030,4.384,317.4
2017,153,1040,4.329,312
2017,153,1050,4.523,323.5
2017,153,1100,4.709,323
2017,153,1110,5.116,324.3
2017,153,1120,4.778,326
2017,153,1130,5.345,323.6
2017,153,1140,5.383,314.9
2017,153,1150,4.568,300.5
2017,153,1200,5.203,302.3
2017,153,1210,5.449,310.1
2017,153,1220,5.197,293.1
2017,153,1230,4.788,305
2017,153,1240,4.7,296.9
2017,153,1250,4.398,297.6
2017,153,1300,4.461,295.1
2017,153,1310,4.319,292.5
2017,153,1320,4.71,296.7
2017,153,1330,5.001,294.5
2017,153,1340,4.094,295.8
2017,153,1350,3.73,288.4
2017,153,1400,4.058,281.8
2017,153,1410,3.913,281.8
2017,153,1420,3.849,283.2
2017,153,1430,4.479,263.7
2017,153,1440,3.715,266.4
2017,153,1450,4.725,253.8
2017,153,1500,3.903,271.1
2017,153,1510,3.879,264.5
2017,153,1520,3.809,271.1
2017,153,1530,4.341,272.9
2017,153,1540,4.9,264.3
2017,153,1550,4.903,260.1
2017,153,1600,4.315,266.5
2017,153,1610,4.53,263.5
2017,153,1620,4.493,258.1
2017,153,1630,4.106,262.5
2017,153,1640,4.185,259.1
2017,153,1650,3.876,262.5
2017,153,1700,3.66,274.6
2017,153,1710,3.247,266.7
2017,153,1720,4.262,246.8
2017,153,1730,4.408,255
2017,153,1740,3.815,266.4
2017,153,1750,4.195,268.9
2017,153,1800,4.625,262.5
2017,153,1810,5.052,265.8
2017,153,1820,3.449,233.9
2017,153,1830,3.232,246.9
2017,153,1840,2.986,240.7
2017,153,1850,2.421,242.7
2017,153,1900,3.735,253.8
2017,153,1910,4.433,270
2017,153,1920,4.32,262.1
2017,153,1930,4.216,263.6
2017,153,1940,3.846,262.9
2017,153,1950,3.922,259.8
2017,153,2000,4.009,265
2017,153,2010,4.088,260.8
2017,153,2020,3.737,261.4
2017,153,2030,3.434,263.3
2017,153,2040,3.539,261.9
2017,153,2050,3.971,268.7
2017,153,2100,3.572,274.4
2017,153,2110,3.298,276.4
2017,153,2120,3.583,270.7
2017,153,2130,3.192,265.3
2017,153,2140,3.129,270
2017,153,2150,3.795,266.1
2017,153,2200,3.376,258.7
2017,153,2210,3.287,249.6
2017,153,2220,2.962,249.3
2017,153,2230,3.335,252.6
2017,153,2240,3.457,258
2017,153,2250,3.345,249.8
2017,153,2300,3.412,259.4
2017,153,2310,3.092,256.6
2017,153,2320,2.85,242.8
2017,153,2330,2.893,241.6
2017,153,2340,2.582,248.1
2017,153,2350,2.663,259.1
2017,154,0,2.367,261.7
2017,154,10,2.214,266.3
2017,154,20,2.76,273.6
2017,154,30,2.897,271.5
2017,154,40,2.997,277.6
2017,154,50,3.272,283.7
2017,154,100,3.039,287.3
2017,154,110,3.391,291.9
2017,154,120,3.456,297.5
2017,154,130,3.278,290.9
2017,154,140,3.473,298.3
2017,154,150,4.047,305.6
2017,154,200,4.202,297.1
2017,154,210,4.079,298.1
2017,154,220,4.059,298.2
2017,154,230,4.729,305.5
2017,154,240,4.093,304.4
2017,154,250,4.812,303.1
2017,154,300,4.277,303.5
2017,154,310,4.382,301.4
2017,154,320,5.02,304.1
2017,154,330,4.32,302
2017,154,340,3.965,304.6
2017,154,350,3.172,294.6
2017,154,400,3.738,287.1
2017,154,410,3.668,293
2017,154,420,3.887,288.3
2017,154,430,3.728,296
2017,154,440,3.873,293.1
2017,154,450,4,289.5
2017,154,500,3.841,292.8
2017,154,510,3.506,293
2017,154,520,3.655,295.3
2017,154,530,3.36,294.1
2017,154,540,3.073,290.3
2017,154,550,2.636,288.2
2017,154,600,2.256,282.3
2017,154,610,2.856,282.9
2017,154,620,2.795,284.9
2017,154,630,2.5,286.7
2017,154,640,2.373,277.9
2017,154,650,2.293,299.3
2017,154,700,2.958,312.7
2017,154,710,3.882,312.5
2017,154,720,4.211,313.7
2017,154,730,4.807,323
2017,154,740,5.254,316
2017,154,750,5.381,315.3
2017,154,800,5.01,315
2017,154,810,5.065,318.2
2017,154,820,4.767,318.6
2017,154,830,3.383,311.3
2017,154,840,3.276,315.7
2017,154,850,3.21,324
