Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12241,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,30,342
12242,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,60,12
12243,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,90,42
12244,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,120,72
12245,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,150,102
12246,NewSet-M2-Wind Lag-Severe,10,12.4,0.056,0,90,23.9,0,0,36,24,6,174,126
12247,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,0,312
12248,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,30,342
12249,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,60,12
12250,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,90,42
12251,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,120,72
12252,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,150,102
12253,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,180,132
12254,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,210,162
12255,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,240,192
12256,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,270,222
12257,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,300,252
12258,NewSet-K1-Wind-Lag-Mild,10,12.4,0,0,90,23.9,0.022,0,36,24,3,330,282
12259,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,0,312
12260,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,30,342
12261,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,60,12
12262,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,90,42
12263,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,120,72
12264,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,150,102
12265,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,180,132
12266,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,210,162
12267,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,240,192
12268,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,270,222
12269,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,300,252
12270,NewSet-K1-Wind-Lag-severe,10,12.4,0,0,90,23.9,0.022,0,36,24,6,330,282
12271,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12272,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12273,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12274,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12275,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12276,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12277,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12278,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12279,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12280,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12281,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12282,NewSet-M2K1-Wind-Lag-Mild,10,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12283,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12284,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12285,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12286,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12287,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12288,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12289,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
12290,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12291,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12292,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12293,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12294,NewSet-M2K1-Wind-Lag-Severe,10,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
12295,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,0,312
12296,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,30,342
12297,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,60,12
12298,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,90,42
12299,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,120,72
12300,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,150,102
12301,NewSet-M2-Wind Lag-Mild,15,12.4,0.056,0,90,23.9,0,0,36,24,3,174,126
12302,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,0,312
12303,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,30,342
12304,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,60,12
12305,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,90,42
12306,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,120,72
12307,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,150,102
12308,NewSet-M2-Wind Lag-Severe,15,12.4,0.056,0,90,23.9,0,0,36,24,6,174,126
12309,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,0,312
12310,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,30,342
12311,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,60,12
12312,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,90,42
12313,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,120,72
12314,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,150,102
12315,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,180,132
12316,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,210,162
12317,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,240,192
12318,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,270,222
12319,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,300,252
12320,NewSet-K1-Wind-Lag-Mild,15,12.4,0,0,90,23.9,0.022,0,36,24,3,330,282
12321,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,0,312
12322,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,30,342
12323,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,60,12
12324,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,90,42
12325,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,120,72
12326,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,150,102
12327,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,180,132
12328,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,210,162
12329,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,240,192
12330,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,270,222
12331,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,300,252
12332,NewSet-K1-Wind-Lag-severe,15,12.4,0,0,90,23.9,0.022,0,36,24,6,330,282
12333,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12334,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12335,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12336,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12337,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12338,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12339,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12340,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12341,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12342,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12343,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12344,NewSet-M2K1-Wind-Lag-Mild,15,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12345,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12346,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12347,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12348,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12349,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12350,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12351,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
12352,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12353,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12354,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12355,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12356,NewSet-M2K1-Wind-Lag-Severe,15,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
12357,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,0,312
12358,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,30,342
12359,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,60,12
12360,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,90,42
12361,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,120,72
12362,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,150,102
12363,NewSet-M2-Wind Lag-Mild,17.5,12.4,0.056,0,90,23.9,0,0,36,24,3,174,126
12364,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,0,312
12365,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,30,342
12366,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,60,12
12367,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,90,42
12368,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,120,72
12369,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,150,102
12370,NewSet-M2-Wind Lag-Severe,17.5,12.4,0.056,0,90,23.9,0,0,36,24,6,174,126
12371,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,0,312
12372,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,30,342
12373,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,60,12
12374,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,90,42
12375,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,120,72
12376,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,150,102
12377,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,180,132
12378,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,210,162
12379,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,240,192
12380,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,270,222
12381,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,300,252
12382,NewSet-K1-Wind-Lag-Mild,17.5,12.4,0,0,90,23.9,0.022,0,36,24,3,330,282
12383,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,0,312
12384,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,30,342
12385,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,60,12
12386,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,90,42
12387,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,120,72
12388,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,150,102
12389,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,180,132
12390,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,210,162
12391,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,240,192
12392,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,270,222
12393,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,300,252
12394,NewSet-K1-Wind-Lag-severe,17.5,12.4,0,0,90,23.9,0.022,0,36,24,6,330,282
12395,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12396,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12397,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12398,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12399,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12400,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12401,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12402,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12403,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12404,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12405,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12406,NewSet-M2K1-Wind-Lag-Mild,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12407,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12408,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12409,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12410,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12411,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12412,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12413,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
12414,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12415,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12416,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12417,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12418,NewSet-M2K1-Wind-Lag-Severe,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
12419,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,0,312
12420,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,30,342
12421,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,60,12
12422,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,90,42
12423,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,120,72
12424,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,150,102
12425,NewSet-M2-Wind Lag-Mild,20,12.4,0.056,0,90,23.9,0,0,36,24,3,174,126
12426,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,0,312
12427,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,30,342
12428,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,60,12
12429,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,90,42
12430,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,120,72
12431,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,150,102
12432,NewSet-M2-Wind Lag-Severe,20,12.4,0.056,0,90,23.9,0,0,36,24,6,174,126
12433,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,0,312
12434,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,30,342
12435,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,60,12
12436,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,90,42
12437,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,120,72
12438,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,150,102
12439,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,180,132
12440,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,210,162
12441,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,240,192
12442,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,270,222
12443,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,300,252
12444,NewSet-K1-Wind-Lag-Mild,20,12.4,0,0,90,23.9,0.022,0,36,24,3,330,282
12445,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,0,312
12446,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,30,342
12447,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,60,12
12448,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,90,42
12449,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,120,72
12450,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,150,102
12451,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,180,132
12452,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,210,162
12453,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,240,192
12454,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,270,222
12455,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,300,252
12456,NewSet-K1-Wind-Lag-severe,20,12.4,0,0,90,23.9,0.022,0,36,24,6,330,282
12457,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,0,312
12458,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,30,342
12459,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,60,12
12460,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,90,42
12461,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,120,72
12462,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,150,102
12463,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,180,132
12464,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,210,162
12465,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,240,192
12466,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,270,222
12467,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,300,252
12468,NewSet-M2K1-Wind-Lag-Mild,20,12.4,0.056,0,90,23.9,0.022,0,36,24,3,330,282
12469,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,0,312
12470,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,30,342
12471,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,60,12
12472,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,90,42
12473,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,120,72
12474,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,150,102
12475,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,180,132
12476,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,210,162
12477,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,240,192
12478,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,270,222
12479,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,300,252
12480,NewSet-M2K1-Wind-Lag-Severe,20,12.4,0.056,0,90,23.9,0.022,0,36,24,6,330,282
12481,Extended Bathymetry,5,12.4,0.056,0,90,23.9,0,0,36,0,0,0,0
12482,Only Wind,5,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12483,Only Wind,7.5,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12484,Only Wind,10,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12485,Only Wind,12.5,12.4,0,0,90,23.9,0,0,36,24,6,0,312
12486,Only Wind,15,12.4,0,0,90,23.9,0,0,36,24,6,0,312
