Case,Description,Pycno Depth,M2 Period,M2 Amp,M2 Phase,M2 Phase After Spinup Correction& U-Eta Lag,K1 Period,K1 Amp,K1 Phase,K1 Phase After Spinup Correction& U-Eta Lag,Wind Period,Wind Speed,Wind Phase,Wind Phase After Spinup Correction
12058,M2K1- Pycno&Wind Speed,20,12.4,0.056,0,90,23.9,0.022,108,144,24,1.5,205,157
12059,M2K1- Pycno&Wind Speed,5,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12060,M2K1- Pycno&Wind Speed,7.5,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12061,M2K1- Pycno&Wind Speed,10,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12062,M2K1- Pycno&Wind Speed,12.5,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12063,M2K1- Pycno&Wind Speed,15,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12064,M2K1- Pycno&Wind Speed,17.5,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12065,M2K1- Pycno&Wind Speed,20,12.4,0.056,0,90,23.9,0.022,108,144,24,3,205,157
12066,M2K1- Pycno&Wind Speed,5,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12067,M2K1- Pycno&Wind Speed,7.5,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12068,M2K1- Pycno&Wind Speed,10,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12069,M2K1- Pycno&Wind Speed,12.5,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12070,M2K1- Pycno&Wind Speed,15,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12071,M2K1- Pycno&Wind Speed,17.5,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12072,M2K1- Pycno&Wind Speed,20,12.4,0.056,0,90,23.9,0.022,108,144,24,4.5,205,157
12073,M2K1- Pycno&Wind Speed,5,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12074,M2K1- Pycno&Wind Speed,7.5,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12075,M2K1- Pycno&Wind Speed,10,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12076,M2K1- Pycno&Wind Speed,12.5,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12077,M2K1- Pycno&Wind Speed,15,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12078,M2K1- Pycno&Wind Speed,17.5,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12079,M2K1- Pycno&Wind Speed,20,12.4,0.056,0,90,23.9,0.022,108,144,24,6,205,157
12080,M2-Pycno,5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12081,M2-Pycno,7.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12082,M2-Pycno,10,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12083,M2-Pycno,12.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12084,M2-Pycno,15,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12085,M2-Pycno,17.5,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12086,M2-Pycno,20,12.4,0.056,0,90,23.9,0,108,144,24,0,205,157
12087,K1-Pycno,5,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12088,K1-Pycno,7.5,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12089,K1-Pycno,10,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12090,K1-Pycno,12.5,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12091,K1-Pycno,15,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12092,K1-Pycno,17.5,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12093,K1-Pycno,20,12.4,0,0,90,23.9,0.022,108,144,24,0,205,157
12094,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,0,36,24,0,0,0
12095,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,30,66,24,0,0,0
12096,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,60,96,24,0,0,0
12097,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,90,126,24,0,0,0
12098,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,120,156,24,0,0,0
12099,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,150,186,24,0,0,0
12100,M2K1-Tidal Lag-Pycno12.5,12.5,12.4,0.056,0,90,23.9,0.022,178,214,24,0,0,0
12101,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,0,36,24,0,0,0
12102,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,30,66,24,0,0,0
12103,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,60,96,24,0,0,0
12104,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,90,126,24,0,0,0
12105,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,120,156,24,0,0,0
12106,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,150,186,24,0,0,0
12107,M2K1-Tidal Lag-Pycno17.5,17.5,12.4,0.056,0,90,23.9,0.022,178,214,24,0,0,0
12108,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,0,36,24,0,0,0
12109,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,30,66,24,0,0,0
12110,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,60,96,24,0,0,0
12111,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,90,126,24,0,0,0
12112,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,120,156,24,0,0,0
12113,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,150,186,24,0,0,0
12114,K1-Tidal Lag-Pycno7.5,7.5,12.4,0,0,90,23.9,0.022,178,214,24,0,0,0
